,0,1,2,3,4,5,6,7,8
12,/lol/cls-2018-opening/season/dark-horse-vs-furious-gaming-81727,/media/flag/35.png,/media/flag/47.png,/lol/cls-2018-opening/season,/media/tournament/_60/e2047.png,,DHсчетFG,"11 февраля, 2018, 01:06",
13,/lol/eu-lcs-2018-spring/season/roccat-vs-misfits-60759,/media/flag/5.png,/media/flag/96.png,/lol/eu-lcs-2018-spring/season,/media/tournament/_60/e1447.png,,RoccatсчетMSF,"11 февраля, 2018, 00:56",
14,/lol/cls-2018-opening/season/uc-esports-vs-rebirth-esports-81728,/media/flag/35.png,/media/flag/35.png,/lol/cls-2018-opening/season,/media/tournament/_60/e2047.png,,UCсчетRBT,"11 февраля, 2018, 00:02",
15,/lol/eu-lcs-2018-spring/season/h2k-vs-schalke-60758,/media/flag/96.png,/media/flag/5.png,/lol/eu-lcs-2018-spring/season,/media/tournament/_60/e1447.png,,H2kсчетS04,"11 февраля, 2018, 00:00",
16,/lol/lcl-2018-spring/season/dragon-army-vs-vega-squadron-62315,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,DAсчетVEG,"10 февраля, 2018, 23:51",
17,/lol/lcl-2018-spring/season/just-vs-rox-62314,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,JustсчетRoX,"10 февраля, 2018, 22:51",
18,/lol/eu-lcs-2018-spring/season/vitality-vs-splyce-60757,/media/flag/18.png,/media/flag/24.png,/lol/eu-lcs-2018-spring/season,/media/tournament/_60/e1447.png,,VITсчетSPY,"10 февраля, 2018, 22:48",
19,/lol/cls-2018-opening/season/isurus-gaming-vs-hafnet-esports-81667,/media/flag/47.png,/media/flag/47.png,/lol/cls-2018-opening/season,/media/tournament/_60/e2047.png,,ISGсчетHAF,"10 февраля, 2018, 22:27",
0,/lol/tcl-2018-winter/season/galakticos-vs-supermassive-61774,/media/flag/38.png,/media/flag/38.png,/lol/tcl-2018-winter/season,/media/tournament/_60/e1622.png,,GALсчетSUP,"10 февраля, 2018, 22:22",
1,/lol/lcl-2018-spring/season/vaevictis-vs-vega-squadron-62313,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,VAEсчетVEG,"10 февраля, 2018, 21:50",
2,/lol/tcl-2018-winter/season/team-aurora-vs-hwa-gaming-61773,/media/flag/38.png,/media/flag/38.png,/lol/tcl-2018-winter/season,/media/tournament/_60/e1622.png,,AURсчетHWA,"10 февраля, 2018, 20:53",
3,/lol/tcl-2018-winter/season/dark-passage-vs-fenerbahce-61772,/media/flag/38.png,/media/flag/38.png,/lol/tcl-2018-winter/season,/media/tournament/_60/e1622.png,,DPсчетFB,"10 февраля, 2018, 19:51",
4,/lol/lcl-2018-spring/season/gambit-esports-vs-m19-62312,/media/flag/3.png,/media/flag/3.png,/lol/lcl-2018-spring/season,/media/tournament/_60/e1451.png,,GMBсчетM19,"10 февраля, 2018, 18:56",
5,/lol/tcl-2018-winter/season/youthcrew-esports-vs-royal-bandits-61771,/media/flag/38.png,/media/flag/38.png,/lol/tcl-2018-winter/season,/media/tournament/_60/e1622.png,,YouthCrewсчетRBE,"10 февраля, 2018, 18:52",
6,/lol/lms-2018-spring/season/machi-vs-jt-61265,/media/flag/7.png,/media/flag/7.png,/lol/lms-2018-spring/season,/media/tournament/_60/e1462.png,,MCXсчетJT,"10 февраля, 2018, 17:58",
7,/lol/lck-2018-spring/season/bbq-olivers-vs-mvp-60668,/media/flag/1.png,/media/flag/1.png,/lol/lck-2018-spring/season,/media/tournament/_60/e1972.png,,bbqсчетMVP,"10 февраля, 2018, 17:43",
8,/lol/ljl-2018-spring/season/detonation-fm-vs-7th-heaven-79721,/media/flag/9.png,/media/flag/9.png,/lol/ljl-2018-spring/season,/media/tournament/_60/e2002.png,,DFMсчет7th heaven,"10 февраля, 2018, 17:06",
9,/lol/ljl-2018-spring/season/unsold-stuff-gaming-vs-rascal-jester-79720,/media/flag/9.png,/media/flag/9.png,/lol/ljl-2018-spring/season,/media/tournament/_60/e2002.png,,USGсчетRJ,"10 февраля, 2018, 14:39",
10,/lol/lck-2018-spring/season/jin-air-vs-king-zone-dragonx-60667,/media/flag/1.png,/media/flag/1.png,/lol/lck-2018-spring/season,/media/tournament/_60/e1972.png,,JAGсчетKZ,"10 февраля, 2018, 14:34",
11,/lol/opl-2018-split-1/season/chiefs-vs-legacy-esports-61450,/media/flag/32.png,/media/flag/32.png,/lol/opl-2018-split-1/season,/media/tournament/_60/e1612.png,,CHFсчетLGC,"10 февраля, 2018, 12:43",
12,/lol/na-academy-league-2018-spring/season/efx-academy-vs-ggs-academy-80437,/media/flag/2.png,/media/flag/2.png,/lol/na-academy-league-2018-spring/season,/media/tournament/_60/e2025.png,,EF Ac.счетGGSA,"10 февраля, 2018, 10:04",
13,/lol/opl-2018-split-1/season/avant-garde-vs-tectonic-61449,/media/flag/32.png,/media/flag/32.png,/lol/opl-2018-split-1/season,/media/tournament/_60/e1612.png,,AVсчетTTC,"10 февраля, 2018, 09:50",
14,/lol/na-academy-league-2018-spring/season/100-academy-vs-flyquest-academy-80438,/media/flag/2.png,/media/flag/2.png,/lol/na-academy-league-2018-spring/season,/media/tournament/_60/e2025.png,,100AсчетFQA,"10 февраля, 2018, 08:54",
15,/lol/na-academy-league-2018-spring/season/optic-academy-vs-clg-academy-80439,/media/flag/2.png,/media/flag/13.png,/lol/na-academy-league-2018-spring/season,/media/tournament/_60/e2025.png,,OpTic Ac.счетCLGA,"10 февраля, 2018, 08:14",
16,/lol/lln-2018-opening/season/dash9-gaming-vs-gaming-gaming-81545,/media/flag/100.png,/media/flag/79.png,/lol/lln-2018-opening/season,/media/tournament/_60/e2044.png,,Dash9счетGG,"10 февраля, 2018, 07:44",
17,/lol/lln-2018-opening/season/infinity-esports-vs-6sense-81521,/media/flag/108.png,/media/flag/79.png,/lol/lln-2018-opening/season,/media/tournament/_60/e2044.png,,INFсчет6SN,"10 февраля, 2018, 06:51",
18,/lol/na-academy-league-2018-spring/season/c9-academy-vs-liquid-academy-80440,/media/flag/2.png,/media/flag/2.png,/lol/na-academy-league-2018-spring/season,/media/tournament/_60/e2025.png,,C9AсчетTLA,"10 февраля, 2018, 06:48",
19,/lol/lln-2018-opening/season/zaga-talent-gaming-vs-rainbow7-81546,/media/flag/102.png,/media/flag/79.png,/lol/lln-2018-opening/season,/media/tournament/_60/e2044.png,,ZAGAсчетR7,"10 февраля, 2018, 05:56",
0,/lol/na-academy-league-2018-spring/season/tsm-academy-vs-clutch-academy-80441,/media/flag/2.png,/media/flag/2.png,/lol/na-academy-league-2018-spring/season,/media/tournament/_60/e2025.png,,TSMAсчетClutch Ac.,"10 февраля, 2018, 05:51",
1,/lol/eu-lcs-2018-spring/season/g2-esports-vs-schalke-60756,/media/flag/8.png,/media/flag/5.png,/lol/eu-lcs-2018-spring/season,/media/tournament/_60/e1447.png,,G2счетS04,"10 февраля, 2018, 04:31",
2,/lol/eu-lcs-2018-spring/season/fnatic-vs-uol-60755,/media/flag/96.png,/media/flag/5.png,/lol/eu-lcs-2018-spring/season,/media/tournament/_60/e1447.png,,FNCсчетUOL,"10 февраля, 2018, 03:35",
3,/lol/eu-lcs-2018-spring/season/giants-gaming-vs-misfits-60754,/media/flag/8.png,/media/flag/96.png,/lol/eu-lcs-2018-spring/season,/media/tournament/_60/e1447.png,,GiantsсчетMSF,"10 февраля, 2018, 02:35",
4,/lol/eu-lcs-2018-spring/season/roccat-vs-vitality-60753,/media/flag/5.png,/media/flag/18.png,/lol/eu-lcs-2018-spring/season,/media/tournament/_60/e1447.png,,RoccatсчетVIT,"10 февраля, 2018, 00:56",
5,/lol/eu-lcs-2018-spring/season/h2k-vs-splyce-60752,/media/flag/96.png,/media/flag/24.png,/lol/eu-lcs-2018-spring/season,/media/tournament/_60/e1447.png,,H2kсчетSPY,"09 февраля, 2018, 23:49",
6,/lol/lms-2018-spring/season/ahq-vs-team-afro-61263,/media/flag/7.png,/media/flag/7.png,/lol/lms-2018-spring/season,/media/tournament/_60/e1462.png,,ahqсчетAfro,"09 февраля, 2018, 15:00",
7,/lol/ljl-2018-spring/season/pentagram-vs-v3-esports-79719,/media/flag/9.png,/media/flag/9.png,/lol/ljl-2018-spring/season,/media/tournament/_60/e2002.png,,PGMсчетV3,"09 февраля, 2018, 15:00",
8,/lol/cdln-2018-opening/season/fuego-vs-pixel-esports-club-81480,/media/flag/119.png,/media/flag/35.png,/lol/cdln-2018-opening/season,/media/tournament/_60/e2042.png,,FuegoсчетPIX,"09 февраля, 2018, 09:32",
